ticket,source,direction,open_time,entry,limit_offset,filled,tp_pts_used,orig_net,latest_net,latest_exit,delta
81078164,limit,sell,2026.05.22 07:21:42,4555.0,2.0,False,,0.0,0.0,no_fill,0.0
81078140,limit,sell,2026.05.22 07:21:21,4554.0,2.0,False,,0.0,0.0,no_fill,0.0
81078106,limit,sell,2026.05.22 07:20:31,4553.0,2.0,False,,0.0,0.0,no_fill,0.0
81056154,limit,buy,2026.05.22 01:12:28,4514.0,2.0,False,,0.0,0.0,no_fill,0.0
81056145,limit,buy,2026.05.22 01:12:05,4515.0,2.0,False,,0.0,0.0,no_fill,0.0
81056140,limit,buy,2026.05.22 01:11:46,4516.0,2.0,False,,0.0,0.0,no_fill,0.0
80992262,limit,buy,2026.05.21 13:03:39,4494.0,2.0,False,,0.0,0.0,no_fill,0.0
80992238,limit,buy,2026.05.21 13:03:19,4495.0,2.0,False,,0.0,0.0,no_fill,0.0
80992200,limit,buy,2026.05.21 13:02:38,4496.0,2.0,False,,0.0,0.0,no_fill,0.0
80974256,limit,sell,2026.05.21 10:25:29,4541.0,2.0,True,20.0,0.0,19.82,tp,19.82
80974202,limit,sell,2026.05.21 10:25:14,4540.0,2.0,True,10.0,0.0,9.82,tp,9.82
80974029,limit,sell,2026.05.21 10:24:55,4539.0,2.0,True,10.0,0.0,9.82,tp,9.82
80900806,limit,buy,2026.05.20 18:34:39,4451.5,2.0,False,,0.0,0.0,no_fill,0.0
80900754,limit,buy,2026.05.20 18:34:10,4450.5,2.0,False,,0.0,0.0,no_fill,0.0
80900676,limit,buy,2026.05.20 18:33:17,4449.5,2.0,False,,0.0,0.0,no_fill,0.0
80899815,limit,sell,2026.05.20 18:27:08,4553.0,2.0,False,,0.0,0.0,no_fill,0.0
80899722,limit,sell,2026.05.20 18:26:38,4554.0,2.0,False,,0.0,0.0,no_fill,0.0
80899445,limit,sell,2026.05.20 18:25:17,4555.0,2.0,False,,0.0,0.0,no_fill,0.0
80873280,limit,buy,2026.05.20 16:08:25,4465.0,2.0,False,,0.0,0.0,no_fill,0.0
80873249,limit,buy,2026.05.20 16:08:09,4468.0,2.0,True,10.0,0.0,9.82,tp,9.82
80873171,limit,buy,2026.05.20 16:07:31,4469.0,2.0,True,10.0,0.0,9.82,tp,9.82
80749349,limit,sell,2026.05.19 16:42:26,4517.5,2.0,False,,0.0,0.0,no_fill,0.0
80749246,limit,sell,2026.05.19 16:42:05,4516.5,2.0,False,,0.0,0.0,no_fill,0.0
80749150,limit,sell,2026.05.19 16:41:46,4513.5,2.0,True,10.0,0.0,9.82,tp,9.82
80735996,limit,sell,2026.05.19 15:59:45,4572.0,2.0,False,,0.0,0.0,no_fill,0.0
80735997,limit,sell,2026.05.19 15:59:45,4573.0,2.0,False,,0.0,0.0,no_fill,0.0
80735853,limit,sell,2026.05.19 15:57:42,4571.0,2.0,False,,0.0,0.0,no_fill,0.0
80721005,limit,sell,2026.05.19 13:37:55,4597.0,2.0,False,,0.0,0.0,no_fill,0.0
80720970,limit,sell,2026.05.19 13:37:39,4596.0,2.0,False,,0.0,0.0,no_fill,0.0
80720962,limit,sell,2026.05.19 13:37:13,4595.0,2.0,False,,0.0,0.0,no_fill,0.0
80720375,limit,sell,2026.05.19 13:22:54,4587.0,2.0,False,,0.0,0.0,no_fill,0.0
80720359,limit,sell,2026.05.19 13:22:37,4586.0,2.0,False,,0.0,0.0,no_fill,0.0
80720351,limit,sell,2026.05.19 13:22:17,4585.0,2.0,False,,0.0,0.0,no_fill,0.0
80667126,limit,sell,2026.05.19 05:10:04,4581.0,2.0,False,,0.0,0.0,no_fill,0.0
